ID,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
1,0,0,0,0,1/07/15
2,0,0,0,0,1/07/15
3,75,0,0,0,2/07/15
4,75,0,0,0,2/07/15
5,98,0,1,0,3/07/15
6,98,0,1,0,3/07/15
7,107,0,0,0,3/07/15
8,103,0,1,0,3/07/15
9,82,0,1,1,6/05/15
10,105.5,0,0,1,22/04/15
11,123,0,0,1,23/06/15
12,145,0,0,0,5/07/15
13,97,0,3,0,5/07/15
14,154.77,0,1,0,5/07/15
15,94.71,0,0,0,5/07/15
16,97,0,3,0,5/07/15
17,97.5,0,0,0,5/07/15
18,88.2,0,0,0,2/07/15
19,107.42,0,0,0,2/07/15
20,153,0,1,0,5/07/15
21,97.29,0,1,0,6/07/15
22,84.67,0,1,0,7/07/15
23,84.67,0,1,0,7/07/15
24,99.67,0,1,0,7/07/15
25,94.95,0,1,0,1/07/15
26,63.6,1,0,0,8/07/15
27,79.5,0,0,0,8/07/15
28,107,0,2,1,11/05/15
29,94,0,0,0,8/07/15
30,87.3,1,1,0,8/07/15
31,62,0,2,0,15/07/15
32,63.86,0,0,0,16/07/15
33,108.3,0,2,1,29/05/15
34,65.5,0,0,0,8/07/15
35,108.8,0,1,1,19/05/15
36,108.8,0,1,1,19/06/15
37,98,0,0,0,6/07/15
38,108.8,0,1,0,6/07/15
39,108.8,0,0,1,23/05/15
40,137,0,1,0,7/07/15
41,117.81,0,0,1,18/05/15
42,79.5,0,0,0,7/07/15
43,123,0,0,0,7/07/15
44,137,0,1,0,7/07/15
45,110.7,0,2,0,9/07/15
46,153,0,0,1,2/06/15
47,58.95,0,1,0,9/07/15
48,82.88,0,2,0,9/07/15
49,82.35,0,0,0,9/07/15
50,119.35,0,1,0,9/07/15
51,67.58,0,2,0,9/07/15
52,56.01,0,0,0,13/07/15
53,110.7,0,0,0,16/07/15
54,88.2,1,0,0,3/07/15
55,147,1,0,0,3/07/15
56,107,1,2,0,3/07/15
57,147,0,0,0,3/07/15
58,117.9,0,2,0,3/07/15
59,123,0,0,0,3/07/15
60,98,0,1,0,4/07/15
61,117.81,0,0,0,4/07/15
62,135,1,2,0,4/07/15
63,133,0,1,0,5/07/15
64,58.95,0,0,0,5/07/15
65,136.33,0,2,1,29/06/15
66,153,1,0,0,5/07/15
67,110.5,0,0,0,5/07/15
68,97,0,0,0,5/07/15
69,110.3,0,2,1,16/06/15
70,82,0,2,1,18/06/15
71,97,0,1,1,3/07/15
72,73.8,0,1,1,12/06/15
73,91.5,0,0,0,5/07/15
74,114.5,0,0,0,5/07/15
75,110.3,0,0,1,9/06/15
76,90.9,1,0,0,6/07/15
77,123,0,0,1,26/05/15
78,122,0,0,0,7/07/15
79,110.7,1,0,0,7/07/15
80,85.86,0,0,0,11/07/15
81,58.95,0,0,0,12/07/15
82,55.68,0,0,1,19/05/15
83,55.68,0,0,0,13/07/15
84,124,0,1,1,9/06/15
85,111.15,0,0,0,13/07/15
86,134.73,0,0,0,17/07/15
87,92.45,0,1,0,17/07/15
88,108.73,0,2,1,15/04/15
89,73.8,0,0,0,4/07/15
90,98,1,2,0,4/07/15
91,131,0,1,0,4/07/15
92,123,0,0,0,4/07/15
93,94.71,0,0,0,4/07/15
94,123,0,2,0,4/07/15
95,123,0,1,1,26/05/15
96,73.8,0,1,1,29/06/15
97,117,0,1,1,13/05/15
98,196.54,0,1,0,10/07/15
99,99.3,1,2,0,10/07/15
100,90.95,0,0,0,10/07/15
101,92.67,0,1,0,7/07/15
102,71.55,1,0,0,7/07/15
103,96.49,0,2,0,10/07/15
104,85.8,1,2,0,10/07/15
105,96.3,0,1,0,11/07/15
106,163,0,0,1,9/06/15
107,172,0,1,1,20/05/15
108,110.7,0,1,1,22/04/15
109,58.95,0,1,0,11/07/15
110,73.8,0,2,0,11/07/15
111,97,0,2,0,11/07/15
112,139,0,2,0,11/07/15
113,67.24,0,0,0,11/07/15
114,116.5,0,1,0,12/07/15
115,96.3,0,1,1,12/05/15
116,123,0,1,0,12/07/15
117,71.55,0,1,0,14/07/15
118,71.55,0,1,0,14/07/15
119,149,0,1,0,14/07/15
120,163,1,0,0,5/07/15
121,79.5,0,0,0,5/07/15
122,105,0,0,1,29/05/15
123,123,0,0,2,4/07/15
124,73.8,0,2,1,13/05/15
125,113,0,0,1,16/06/15
126,0,0,1,0,5/07/15
127,123,0,0,0,5/07/15
128,73.8,1,1,0,6/07/15
129,114.5,0,0,0,6/07/15
130,73.8,0,2,0,6/07/15
131,73.8,0,1,0,6/07/15
132,88.2,0,1,0,6/07/15
133,97,0,0,1,1/07/15
134,85.1,0,0,0,6/07/15
135,89,0,0,0,6/07/15
136,80.1,0,0,0,6/07/15
137,98,0,0,0,6/07/15
138,101,1,0,0,6/07/15
139,97,0,0,1,1/07/15
140,167,0,1,0,6/07/15
141,225,2,0,0,7/07/15
142,97,1,0,0,7/07/15
143,87.3,0,2,0,9/07/15
144,85.59,1,2,0,10/07/15
145,123,0,0,0,10/07/15
146,107,0,0,0,10/07/15
147,163,0,0,0,11/07/15
148,82,0,0,0,11/07/15
149,163,0,0,1,17/06/15
150,105.5,0,0,1,1/05/15
151,164.2,1,1,0,12/07/15
152,97.29,0,1,0,12/07/15
153,114,0,1,1,30/03/15
154,98.4,0,0,0,12/07/15
